"id","created_at","created_at_rounded","stage","day","hour"
"1","0000-00-00 00:00:00","2021-01-01 00:00:00","0","Friday","0"
"2","0000-00-00 00:00:00","2021-01-01 01:00:00","0","Friday","1"
"3","0000-00-00 00:00:00","2021-01-01 02:00:00","0","Friday","2"
"4","0000-00-00 00:00:00","2021-01-01 03:00:00","0","Friday","3"
"5","0000-00-00 00:00:00","2021-01-01 04:00:00","0","Friday","4"
"6","0000-00-00 00:00:00","2021-01-01 05:00:00","0","Friday","5"
"7","0000-00-00 00:00:00","2021-01-01 06:00:00","0","Friday","6"
"8","0000-00-00 00:00:00","2021-01-01 07:00:00","0","Friday","7"
"9","0000-00-00 00:00:00","2021-01-01 08:00:00","0","Friday","8"
"10","0000-00-00 00:00:00","2021-01-01 09:00:00","0","Friday","9"
"11","0000-00-00 00:00:00","2021-01-01 10:00:00","0","Friday","10"
"12","0000-00-00 00:00:00","2021-01-01 11:00:00","0","Friday","11"
"13","0000-00-00 00:00:00","2021-01-01 12:00:00","0","Friday","12"
"14","0000-00-00 00:00:00","2021-01-01 13:00:00","0","Friday","13"
"15","0000-00-00 00:00:00","2021-01-01 14:00:00","0","Friday","14"
"16","0000-00-00 00:00:00","2021-01-01 15:00:00","0","Friday","15"
"17","0000-00-00 00:00:00","2021-01-01 16:00:00","0","Friday","16"
"18","0000-00-00 00:00:00","2021-01-01 17:00:00","0","Friday","17"
"19","0000-00-00 00:00:00","2021-01-01 18:00:00","0","Friday","18"
"20","0000-00-00 00:00:00","2021-01-01 19:00:00","0","Friday","19"
"21","0000-00-00 00:00:00","2021-01-01 20:00:00","0","Friday","20"
"22","0000-00-00 00:00:00","2021-01-01 21:00:00","0","Friday","21"
"23","0000-00-00 00:00:00","2021-01-01 22:00:00","0","Friday","22"
"24","0000-00-00 00:00:00","2021-01-01 23:00:00","0","Friday","23"
"25","0000-00-00 00:00:00","2021-01-02 00:00:00","0","Saturday","0"
"26","0000-00-00 00:00:00","2021-01-02 01:00:00","0","Saturday","1"
"27","0000-00-00 00:00:00","2021-01-02 02:00:00","0","Saturday","2"
"28","0000-00-00 00:00:00","2021-01-02 03:00:00","0","Saturday","3"
"29","0000-00-00 00:00:00","2021-01-02 04:00:00","0","Saturday","4"
"30","0000-00-00 00:00:00","2021-01-02 05:00:00","0","Saturday","5"
"31","0000-00-00 00:00:00","2021-01-02 06:00:00","0","Saturday","6"
"32","0000-00-00 00:00:00","2021-01-02 07:00:00","0","Saturday","7"
"33","0000-00-00 00:00:00","2021-01-02 08:00:00","0","Saturday","8"
"34","0000-00-00 00:00:00","2021-01-02 09:00:00","0","Saturday","9"
"35","0000-00-00 00:00:00","2021-01-02 10:00:00","0","Saturday","10"
"36","0000-00-00 00:00:00","2021-01-02 11:00:00","0","Saturday","11"
"37","0000-00-00 00:00:00","2021-01-02 12:00:00","0","Saturday","12"
"38","0000-00-00 00:00:00","2021-01-02 13:00:00","0","Saturday","13"
"39","0000-00-00 00:00:00","2021-01-02 14:00:00","0","Saturday","14"
"40","0000-00-00 00:00:00","2021-01-02 15:00:00","0","Saturday","15"
"41","0000-00-00 00:00:00","2021-01-02 16:00:00","0","Saturday","16"
"42","0000-00-00 00:00:00","2021-01-02 17:00:00","0","Saturday","17"
"43","0000-00-00 00:00:00","2021-01-02 18:00:00","0","Saturday","18"
"44","0000-00-00 00:00:00","2021-01-02 19:00:00","0","Saturday","19"
"45","0000-00-00 00:00:00","2021-01-02 20:00:00","0","Saturday","20"
"46","0000-00-00 00:00:00","2021-01-02 21:00:00","0","Saturday","21"
"47","0000-00-00 00:00:00","2021-01-02 22:00:00","0","Saturday","22"
"48","0000-00-00 00:00:00","2021-01-02 23:00:00","0","Saturday","23"
"49","0000-00-00 00:00:00","2021-01-03 00:00:00","0","Sunday","0"
"50","0000-00-00 00:00:00","2021-01-03 01:00:00","0","Sunday","1"
"51","0000-00-00 00:00:00","2021-01-03 02:00:00","0","Sunday","2"
"52","0000-00-00 00:00:00","2021-01-03 03:00:00","0","Sunday","3"
"53","0000-00-00 00:00:00","2021-01-03 04:00:00","0","Sunday","4"
"54","0000-00-00 00:00:00","2021-01-03 05:00:00","0","Sunday","5"
"55","0000-00-00 00:00:00","2021-01-03 06:00:00","0","Sunday","6"
"56","0000-00-00 00:00:00","2021-01-03 07:00:00","0","Sunday","7"
"57","0000-00-00 00:00:00","2021-01-03 08:00:00","0","Sunday","8"
"58","0000-00-00 00:00:00","2021-01-03 09:00:00","0","Sunday","9"
"59","0000-00-00 00:00:00","2021-01-03 10:00:00","0","Sunday","10"
"60","0000-00-00 00:00:00","2021-01-03 11:00:00","0","Sunday","11"
"61","0000-00-00 00:00:00","2021-01-03 12:00:00","0","Sunday","12"
"62","0000-00-00 00:00:00","2021-01-03 13:00:00","0","Sunday","13"
"63","0000-00-00 00:00:00","2021-01-03 14:00:00","0","Sunday","14"
"64","0000-00-00 00:00:00","2021-01-03 15:00:00","0","Sunday","15"
"65","0000-00-00 00:00:00","2021-01-03 16:00:00","0","Sunday","16"
"66","0000-00-00 00:00:00","2021-01-03 17:00:00","0","Sunday","17"
"67","0000-00-00 00:00:00","2021-01-03 18:00:00","0","Sunday","18"
"68","0000-00-00 00:00:00","2021-01-03 19:00:00","0","Sunday","19"
"69","0000-00-00 00:00:00","2021-01-03 20:00:00","0","Sunday","20"
"70","0000-00-00 00:00:00","2021-01-03 21:00:00","0","Sunday","21"
"71","0000-00-00 00:00:00","2021-01-03 22:00:00","0","Sunday","22"
"72","0000-00-00 00:00:00","2021-01-03 23:00:00","0","Sunday","23"
"73","0000-00-00 00:00:00","2021-01-04 00:00:00","0","Monday","0"
"74","0000-00-00 00:00:00","2021-01-04 01:00:00","0","Monday","1"
"75","0000-00-00 00:00:00","2021-01-04 02:00:00","0","Monday","2"
"76","0000-00-00 00:00:00","2021-01-04 03:00:00","0","Monday","3"
"77","0000-00-00 00:00:00","2021-01-04 04:00:00","0","Monday","4"
"78","0000-00-00 00:00:00","2021-01-04 05:00:00","0","Monday","5"
"79","0000-00-00 00:00:00","2021-01-04 06:00:00","0","Monday","6"
"80","0000-00-00 00:00:00","2021-01-04 07:00:00","0","Monday","7"
"81","0000-00-00 00:00:00","2021-01-04 08:00:00","0","Monday","8"
"82","0000-00-00 00:00:00","2021-01-04 09:00:00","0","Monday","9"
"83","0000-00-00 00:00:00","2021-01-04 10:00:00","0","Monday","10"
"84","0000-00-00 00:00:00","2021-01-04 11:00:00","0","Monday","11"
"85","0000-00-00 00:00:00","2021-01-04 12:00:00","0","Monday","12"
"86","0000-00-00 00:00:00","2021-01-04 13:00:00","0","Monday","13"
"87","0000-00-00 00:00:00","2021-01-04 14:00:00","0","Monday","14"
"88","0000-00-00 00:00:00","2021-01-04 15:00:00","0","Monday","15"
"89","0000-00-00 00:00:00","2021-01-04 16:00:00","0","Monday","16"
"90","0000-00-00 00:00:00","2021-01-04 17:00:00","0","Monday","17"
"91","0000-00-00 00:00:00","2021-01-04 18:00:00","0","Monday","18"
"92","0000-00-00 00:00:00","2021-01-04 19:00:00","0","Monday","19"
"93","0000-00-00 00:00:00","2021-01-04 20:00:00","0","Monday","20"
"94","0000-00-00 00:00:00","2021-01-04 21:00:00","0","Monday","21"
"95","0000-00-00 00:00:00","2021-01-04 22:00:00","0","Monday","22"
"96","0000-00-00 00:00:00","2021-01-04 23:00:00","0","Monday","23"
"97","0000-00-00 00:00:00","2021-01-05 00:00:00","0","Tuesday","0"
"98","0000-00-00 00:00:00","2021-01-05 01:00:00","0","Tuesday","1"
"99","0000-00-00 00:00:00","2021-01-05 02:00:00","0","Tuesday","2"
"100","0000-00-00 00:00:00","2021-01-05 03:00:00","0","Tuesday","3"
"101","0000-00-00 00:00:00","2021-01-05 04:00:00","0","Tuesday","4"
"102","0000-00-00 00:00:00","2021-01-05 05:00:00","0","Tuesday","5"
"103","0000-00-00 00:00:00","2021-01-05 06:00:00","0","Tuesday","6"
"104","0000-00-00 00:00:00","2021-01-05 07:00:00","0","Tuesday","7"
"105","0000-00-00 00:00:00","2021-01-05 08:00:00","0","Tuesday","8"
"106","0000-00-00 00:00:00","2021-01-05 09:00:00","0","Tuesday","9"
"107","0000-00-00 00:00:00","2021-01-05 10:00:00","0","Tuesday","10"
"108","0000-00-00 00:00:00","2021-01-05 11:00:00","0","Tuesday","11"
"109","0000-00-00 00:00:00","2021-01-05 12:00:00","0","Tuesday","12"
"110","0000-00-00 00:00:00","2021-01-05 13:00:00","0","Tuesday","13"
"111","0000-00-00 00:00:00","2021-01-05 14:00:00","0","Tuesday","14"
"112","0000-00-00 00:00:00","2021-01-05 15:00:00","0","Tuesday","15"
"113","0000-00-00 00:00:00","2021-01-05 16:00:00","0","Tuesday","16"
"114","0000-00-00 00:00:00","2021-01-05 17:00:00","0","Tuesday","17"
"115","0000-00-00 00:00:00","2021-01-05 18:00:00","0","Tuesday","18"
"116","0000-00-00 00:00:00","2021-01-05 19:00:00","0","Tuesday","19"
"117","0000-00-00 00:00:00","2021-01-05 20:00:00","0","Tuesday","20"
"118","0000-00-00 00:00:00","2021-01-05 21:00:00","0","Tuesday","21"
"119","0000-00-00 00:00:00","2021-01-05 22:00:00","0","Tuesday","22"
"120","0000-00-00 00:00:00","2021-01-05 23:00:00","0","Tuesday","23"
"121","0000-00-00 00:00:00","2021-01-06 00:00:00","0","Wednesday","0"
"122","0000-00-00 00:00:00","2021-01-06 01:00:00","0","Wednesday","1"
"123","0000-00-00 00:00:00","2021-01-06 02:00:00","0","Wednesday","2"
"124","0000-00-00 00:00:00","2021-01-06 03:00:00","0","Wednesday","3"
"125","0000-00-00 00:00:00","2021-01-06 04:00:00","0","Wednesday","4"
"126","0000-00-00 00:00:00","2021-01-06 05:00:00","0","Wednesday","5"
"127","0000-00-00 00:00:00","2021-01-06 06:00:00","0","Wednesday","6"
"128","0000-00-00 00:00:00","2021-01-06 07:00:00","0","Wednesday","7"
"129","0000-00-00 00:00:00","2021-01-06 08:00:00","0","Wednesday","8"
"130","0000-00-00 00:00:00","2021-01-06 09:00:00","0","Wednesday","9"
"131","0000-00-00 00:00:00","2021-01-06 10:00:00","0","Wednesday","10"
"132","0000-00-00 00:00:00","2021-01-06 11:00:00","0","Wednesday","11"
"133","0000-00-00 00:00:00","2021-01-06 12:00:00","0","Wednesday","12"
"134","0000-00-00 00:00:00","2021-01-06 13:00:00","0","Wednesday","13"
"135","0000-00-00 00:00:00","2021-01-06 14:00:00","0","Wednesday","14"
